data_trimestre;trimestre;bandeira;funcao;qtd_estab_credenciados;qtd_estab_ativos
2020-03-31;1;Bandeira Própria;Pré-pago;323089;127013
2020-03-31;1;Bandeira Própria;Débito;388644;151161
2020-03-31;1;Hipercard;Débito;1687487;1568
2020-03-31;1;Elo;Pré-pago;8199488;2186124
2020-03-31;1;MasterCard;Crédito;24300602;7281475
2020-03-31;1;VISA;Crédito;24291086;7179993
2020-03-31;1;MasterCard;Pré-pago;9722210;2592318
2020-03-31;1;American Express;Débito;470235;1
2020-03-31;1;VISA;Pré-pago;9720715;2265687
2020-03-31;1;Outras;Débito;7453965;192012
2020-03-31;1;Elo;Crédito;23415853;6762133
2020-03-31;1;Outras;Crédito;7515174;591496
2020-03-31;1;Diners Club;Crédito;6840295;16779
2020-03-31;1;VISA;Débito;24285454;6802108
2020-03-31;1;Elo;Débito;23413886;6820504
2020-03-31;1;MasterCard;Débito;24291022;6867434
2020-03-31;1;Hipercard;Crédito;23130727;5856235
2020-03-31;1;Hipercard;Pré-pago;7227589;1922221
2020-03-31;1;Bandeira Própria;Crédito;599448;261652
2020-03-31;1;American Express;Crédito;9572789;1964635
2020-06-30;2;MasterCard;Crédito;26042192;7359559
2020-06-30;2;Hipercard;Pré-pago;7865116;2056681
2020-06-30;2;Outras;Débito;7757813;166637
2020-06-30;2;VISA;Crédito;26033464;7258903
2020-06-30;2;Hipercard;Débito;1751922;1048
2020-06-30;2;Bandeira Própria;Pré-pago;293522;124309
2020-06-30;2;VISA;Pré-pago;10420585;2446123
2020-06-30;2;MasterCard;Pré-pago;10424598;2928189
2020-06-30;2;Diners Club;Crédito;7108340;9760
2020-06-30;2;Elo;Crédito;25213748;6838133
2020-06-30;2;Bandeira Própria;Crédito;538149;257431
2020-06-30;2;American Express;Crédito;10173104;1882450
2020-06-30;2;Outras;Crédito;7819156;477890
2020-06-30;2;Bandeira Própria;Débito;359459;147669
2020-06-30;2;Elo;Pré-pago;8915966;2382115
2020-06-30;2;Hipercard;Crédito;24895137;5926966
2020-06-30;2;VISA;Débito;26027736;6936667
2020-06-30;2;MasterCard;Débito;26032652;7005667
2020-06-30;2;Elo;Débito;25211520;6978041
2020-09-30;3;American Express;Crédito;11015834;1983427
2020-09-30;3;Hipercard;Débito;1108192;739
2020-09-30;3;Elo;Pré-pago;16150773;3340392
2020-09-30;3;VISA;Pré-pago;17684391;3590249
2020-09-30;3;Diners Club;Débito;15503489;4163534
2020-09-30;3;Diners Club;Crédito;7442919;5992
2020-09-30;3;MasterCard;Débito;28248116;7591827
2020-09-30;3;Outras;Crédito;8988496;470771
2020-09-30;3;Bandeira Própria;Crédito;531855;210280
2020-09-30;3;Elo;Débito;27487983;7577037
2020-09-30;3;Bandeira Própria;Débito;364758;143633
2020-09-30;3;VISA;Débito;28243589;7526964
2020-09-30;3;MasterCard;Pré-pago;17684831;3793673
2020-09-30;3;VISA;Crédito;28249487;7719804
2020-09-30;3;Bandeira Própria;Pré-pago;298553;121328
2020-09-30;3;Hipercard;Pré-pago;8641402;2502053
2020-09-30;3;Elo;Crédito;27490548;7273540
2020-09-30;3;Outras;Débito;8927915;177265
2020-09-30;3;Hipercard;Crédito;27103139;6355363
2020-09-30;3;American Express;Débito;652754;2
2020-09-30;3;MasterCard;Crédito;28257647;7805503
2020-12-31;4;Outras;Débito;10404472;208241
2020-12-31;4;MasterCard;Crédito;31072057;8557840
2020-12-31;4;American Express;Crédito;12746380;2155864
2020-12-31;4;Hipercard;Crédito;29935079;6883434
2020-12-31;4;Bandeira Própria;Débito;368116;147056
2020-12-31;4;Hipercard;Débito;1130443;728
2020-12-31;4;MasterCard;Pré-pago;19611512;4477506
2020-12-31;4;VISA;Crédito;31068076;8462041
2020-12-31;4;MasterCard;Débito;31047016;8597379
2020-12-31;4;Elo;Débito;30344286;8597279
2020-12-31;4;Elo;Crédito;30379488;7929954
2020-12-31;4;Bandeira Própria;Crédito;547845;212160
2020-12-31;4;Elo;Pré-pago;19599706;4103590
2020-12-31;4;Bandeira Própria;Pré-pago;300930;124212
2020-12-31;4;Diners Club;Crédito;8719196;11783
2020-12-31;4;Hipercard;Pré-pago;9139762;3013673
2020-12-31;4;Outras;Crédito;10464939;501140
2020-12-31;4;VISA;Pré-pago;19617560;4538565
2020-12-31;4;VISA;Débito;31028175;8542351
2021-03-31;1;Bandeira Própria;Débito;369023;145538
2021-03-31;1;Bandeira Própria;Crédito;508182;182463
2021-03-31;1;Elo;Pré-pago;20782058;4399296
2021-03-31;1;Hipercard;Crédito;32066909;7107023
2021-03-31;1;Bandeira Própria;Pré-pago;301399;123482
2021-03-31;1;Diners Club;Crédito;9213195;13231
2021-03-31;1;Outras;Crédito;11158182;478466
2021-03-31;1;Outras;Débito;11097125;229916
2021-03-31;1;Hipercard;Débito;2179672;466
2021-03-31;1;American Express;Débito;953552;64
2021-03-31;1;MasterCard;Pré-pago;20814513;4618994
2021-03-31;1;MasterCard;Débito;33217543;8802252
2021-03-31;1;Elo;Débito;32513458;8755385
2021-03-31;1;MasterCard;Crédito;33231397;8904504
2021-03-31;1;American Express;Pré-pago;1129284;1
2021-03-31;1;American Express;Crédito;13761840;2182439
2021-03-31;1;Elo;Crédito;32516449;8245173
2021-03-31;1;VISA;Pré-pago;20811802;4608445
2021-03-31;1;VISA;Débito;33211730;8735236
2021-03-31;1;Hipercard;Pré-pago;9601602;3133798
2021-03-31;1;VISA;Crédito;33219119;8806634
2021-06-30;2;American Express;Pré-pago;1128592;4
2021-06-30;2;Elo;Crédito;34882817;8480407
2021-06-30;2;Elo;Pré-pago;22014924;4460919
2021-06-30;2;Bandeira Própria;Débito;372521;144027
2021-06-30;2;VISA;Crédito;35578453;9057614
2021-06-30;2;Hipercard;Débito;2378827;481
2021-06-30;2;Hipercard;Crédito;34438923;7279665
2021-06-30;2;Outras;Débito;11866366;215275
2021-06-30;2;MasterCard;Pré-pago;22046403;4944291
2021-06-30;2;MasterCard;Crédito;35590779;9141584
2021-06-30;2;VISA;Pré-pago;22043617;4678780
2021-06-30;2;Diners Club;Crédito;9739251;10184
2021-06-30;2;Elo;Débito;34763027;8726289
2021-06-30;2;VISA;Débito;35570921;8739553
2021-06-30;2;Bandeira Própria;Crédito;516315;182384
2021-06-30;2;Bandeira Própria;Pré-pago;466428;238904
2021-06-30;2;Hipercard;Pré-pago;10002634;3124119
2021-06-30;2;Outras;Crédito;11927639;441163
2021-06-30;2;American Express;Débito;1151220;345
2021-06-30;2;MasterCard;Débito;35576853;8791498
2021-06-30;2;American Express;Crédito;33955925;7193088
2021-09-30;3;Elo;Débito;37346482;8766081
2021-09-30;3;VISA;Crédito;38219329;9331702
2021-09-30;3;Elo;Pré-pago;23810854;4610118
2021-09-30;3;Hipercard;Crédito;37075729;7470645
2021-09-30;3;American Express;Pré-pago;1145985;8
2021-09-30;3;American Express;Crédito;36571888;7422650
2021-09-30;3;Hipercard;Débito;1135369;262
2021-09-30;3;MasterCard;Crédito;38212618;9397719
2021-09-30;3;Outras;Crédito;13210353;414442
2021-09-30;3;Hipercard;Pré-pago;11572746;3182761
2021-09-30;3;VISA;Débito;38035044;8807525
2021-09-30;3;Elo;Crédito;37524047;8741599
2021-09-30;3;VISA;Pré-pago;23838842;4823449
2021-09-30;3;Bandeira Própria;Débito;376168;142538
2021-09-30;3;Diners Club;Crédito;10705880;12062
2021-09-30;3;Outras;Débito;13148734;213049
2021-09-30;3;Bandeira Própria;Crédito;525997;181237
2021-09-30;3;Outras;Pré-pago;1122318;2
2021-09-30;3;MasterCard;Débito;38021596;8847541
2021-09-30;3;MasterCard;Pré-pago;23822495;5019045
2021-09-30;3;Bandeira Própria;Pré-pago;307146;121080
2021-12-31;4;Hipercard;Crédito;40261479;7612110
2021-12-31;4;Hipercard;Débito;1155517;218
2021-12-31;4;MasterCard;Débito;41117953;8748906
2021-12-31;4;Elo;Crédito;40752720;8862171
2021-12-31;4;Elo;Pré-pago;26396640;4804895
