data_trimestre;trimestre;valor_pix;valor_ted;valor_tec;valor_cheque;valor_boleto;valor_doc;valor_cartao_credito;valor_cartao_debito;valor_cartao_pre_pago;valor_trans_intrabancaria;valor_convenios;valor_debito_direto;valor_saques;quantidade_pix;quantidade_ted;quantidade_tec;quantidade_cheque;quantidade_boleto;quantidade_doc;quantidade_cartao_credito;quantidade_cartao_debito;quantidade_cartao_pre_pago;quantidade_trans_intrabancaria;quantidade_convenios;quantidade_debito_direto;quantidade_saques
2020-03-31;1;0.0;6652135.13;4829.56;318844.92;1526486.76;30628.55;275659.09;171399.49;7923.11;3022140.16;700965.21;481908.26;723755.13;0;329386;2416;115238;1184511;43504;2492783;2757914;122524;296781;860764;1522197;1033408
2020-06-30;2;0.0;6267004.16;4647.32;237873.12;1279796.9;50881.15;224403.29;152251.89;8390.19;2806073.16;480987.36;440005.96;663928.85;0;381387;2267;85355;1175442;73764;1908028;2259651;129891;327058;752351;1503582;933086
2020-09-30;3;0.0;7503982.24;4159.6;259334.88;1959819.72;52156.84;279176.95;228771.89;14163.75;2944451.72;620034.56;415448.62;723095.98;0;541158;2024;86966;1389216;74378;2281876;2957016;232820;347672;776086;1623252;1007773
2020-12-31;4;149894.91;8036705.32;5137.42;278295.37;1919100.6;38705.14;332973.37;258456.59;19356.39;3123890.7;719279.59;456624.59;765821.16;176207;574880;2550;91595;1472869;58634;2672575;3483408;350707;363890;750243;1700532;1082571
2021-03-31;1;625046.52;7894414.16;4352.44;253527.92;1729634.02;21777.7;309999.59;204752.91;19905.0;3017804.72;728627.48;497283.04;673724.85;862338;354171;2181;79410;1389343;31687;2582363;3005005;378355;282451;766142;1704254;927769
2021-06-30;2;1105735.21;8566787.27;3894.81;264944.31;1839922.14;23158.84;344339.59;214381.06;26202.57;3139494.81;710453.34;604018.43;686476.03;1871564;333918;1879;75418;1435095;28659;2839315;3141691;543360;271290;733937;1709010;927987
2021-09-30;3;1556916.22;9257046.28;3684.13;271120.34;2001755.12;22306.75;398440.24;233970.03;33194.1;3338509.99;808629.48;586001.77;675389.55;2863337;296200;1790;80111;1497440;27668;3308864;3526063;733877;253778;774411;1765465;924190
2021-12-31;4;1916418.68;9807293.11;5436.19;264298.16;2070207.28;14166.99;467037.92;257458.3;42051.56;3388871.95;900546.37;603616.19;711901.97;3836286;294064;2679;77753;1501423;16717;3737884;3849208;928576;237060;755053;1809992;936136
2022-03-31;1;2067826.55;9507158.34;3865.81;255455.43;2031481.29;11976.36;452804.72;230186.87;42830.26;3563425.39;929229.7;688896.4;647485.25;4250024;256894;1795;71479;1494396;13195;3677384;3589968;983577;283284;786599;1910758;852739
2022-06-30;2;2543384.4;10449574.67;4786.14;271008.09;2209484.65;17081.53;500836.77;245563.75;50275.71;3929098.93;899961.67;668046.06;703143.51;5447448;254588;2112;70141;1520556;17905;3971776;3778540;1147490;273518;773501;1870657;884713
2022-09-30;3;2936413.95;10437763.16;3735.46;268489.6;2249646.21;17106.46;521479.32;243632.9;55000.44;4161458.11;897631.89;731138.24;674203.68;6528602;256680;1678;68538;1544001;18047;4149986;3831080;1283994;277833;766674;1823810;849207
2022-12-31;4;3342913.67;10382121.63;5609.53;243296.03;2252295.06;9584.63;560274.32;264124.28;65030.32;4216924.6;932333.67;692316.26;687735.83;7807165;254290;2532;62972;1527527;9872;4333268;4115475;1492799;291829;735104;1794361;860863
2023-03-31;1;3447195.57;9919602.84;4535.17;240686.19;2200514.37;7467.11;535395.02;237179.06;60818.87;4106558.45;965364.34;640771.45;625340.14;8116393;228744;1958;57831;1513923;7531;4189169;3835247;1475207;261944;764473;1741943;789957
2023-06-30;2;3900377.22;10657463.13;4770.74;228408.82;2245618.35;11258.23;561732.24;238178.01;63406.97;4213139.83;928969.87;657964.75;642979.47;9396579;218819;1993;56339;1497864;10328;4435156;3929867;1577340;280885;734712;1818812;799232
2023-09-30;3;4469529.57;9960251.89;4156.38;218121.88;2285058.09;10131.89;581882.06;240835.87;68071.55;4310236.11;918621.41;699877.64;627293.7;11116948;217718;1765;54410;1490558;12614;4584771;4014472;1714185;297327;705509;1967923;782970
