data_trimestre;trimestre;estado;qtd_terminais_pos;qtd_terminais_pos_compartilhados;qtd_terminais_pos_com_chip;qtd_terminais_pdv
2020-03-31;1;RR;18122;11102;17868;1020
2020-03-31;1;GO;362852;230808;355486;23827
2020-03-31;1;TO;51434;29178;50387;2279
2020-03-31;1;MG;975679;631123;957566;43039
2020-03-31;1;AM;108521;66252;106226;5015
2020-03-31;1;MA;122958;75694;120596;6916
2020-03-31;1;MT;183418;104895;180601;13193
2020-03-31;1;BA;535209;346512;524158;33362
2020-03-31;1;CE;321523;207971;299038;16068
2020-03-31;1;RJ;1158016;780183;1137832;45012
2020-03-31;1;RS;664727;528927;654130;80737
2020-03-31;1;RN;121841;81044;114182;14173
2020-03-31;1;AC;22073;13439;21719;1068
2020-03-31;1;AL;101091;66756;98861;6955
2020-03-31;1;PI;71147;43665;69689;4695
2020-03-31;1;PA;177977;110177;173588;11160
2020-03-31;1;SP;3540121;2298660;3477549;204498
2020-03-31;1;MS;126593;76233;124689;8983
2020-03-31;1;SE;70960;35336;69754;5007
2020-03-31;1;DF;236577;147234;232096;11348
2020-03-31;1;RO;53515;30043;52771;3089
2020-03-31;1;SC;374434;251187;368476;33304
2020-03-31;1;AP;22345;14087;21977;916
2020-03-31;1;PE;342941;233923;330055;36097
2020-03-31;1;ES;176477;96868;174219;13700
2020-03-31;1;PR;615733;389241;605697;39459
2020-03-31;1;PB;108227;70323;103520;26840
2020-06-30;2;TO;54412;30578;53199;2354
2020-06-30;2;ES;178917;95670;176052;13685
2020-06-30;2;DF;238609;143711;232597;11287
2020-06-30;2;MA;130042;78975;126212;6969
2020-06-30;2;RO;57491;32346;56516;3135
2020-06-30;2;SP;3655817;2340410;3567255;201823
2020-06-30;2;AP;23389;14600;22753;949
2020-06-30;2;PI;75458;44971;72984;4649
2020-06-30;2;PB;112994;69865;107536;26526
2020-06-30;2;MG;1004439;634922;980397;43017
2020-06-30;2;MS;133811;79499;131165;9053
2020-06-30;2;RS;717540;568629;700633;71330
2020-06-30;2;RN;125794;80838;116988;13917
2020-06-30;2;BA;540188;338451;527122;33161
2020-06-30;2;AM;117286;72308;113615;5079
2020-06-30;2;AC;22912;13745;22469;1102
2020-06-30;2;PR;642539;401175;628523;39988
2020-06-30;2;RJ;1167340;767675;1138029;45017
2020-06-30;2;GO;381113;237172;371319;23986
2020-06-30;2;SC;393410;259793;384706;33236
2020-06-30;2;PA;188755;115121;181869;11347
2020-06-30;2;AL;102555;65081;99783;6769
2020-06-30;2;CE;332979;209407;307006;15741
2020-06-30;2;MT;192186;109219;188457;13509
2020-06-30;2;RR;19007;11809;18635;1030
2020-06-30;2;PE;345411;227463;330078;35372
2020-06-30;2;SE;73559;34543;72120;4925
2020-09-30;3;DF;267192;167641;259227;11570
2020-09-30;3;RR;21987;14501;21474;1069
2020-09-30;3;MS;151456;93542;147908;9357
2020-09-30;3;GO;437864;282488;425174;24247
2020-09-30;3;SC;441402;297981;430907;34198
2020-09-30;3;SP;4261931;2866833;4137085;205396
2020-09-30;3;AP;27968;18373;26918;1009
2020-09-30;3;PI;88324;55318;84796;5207
2020-09-30;3;BA;614643;397331;595156;33386
2020-09-30;3;PB;129898;82334;123339;27060
2020-09-30;3;ES;193698;107687;189788;13952
2020-09-30;3;PR;722797;467363;704437;41643
2020-09-30;3;MG;1136971;743358;1105766;44658
2020-09-30;3;RO;65720;38737;64451;3301
2020-09-30;3;RS;823074;662878;798929;73517
2020-09-30;3;SE;84845;41638;82479;5082
2020-09-30;3;MA;152276;96754;147066;7203
2020-09-30;3;CE;387295;253618;357166;16412
2020-09-30;3;AM;142661;94578;137466;5236
2020-09-30;3;TO;61464;35762;59982;2524
2020-09-30;3;PA;217257;137853;208593;11797
2020-09-30;3;MT;214377;126526;209823;14077
2020-09-30;3;RN;143917;95135;133601;14073
2020-09-30;3;AL;118902;77744;114728;7193
2020-09-30;3;RJ;1353757;935252;1313933;46124
2020-09-30;3;PE;402352;274624;382541;35450
2020-09-30;3;AC;26510;16518;25882;1154
2020-12-31;4;PI;89684;55324;86612;4905
2020-12-31;4;ES;198105;110115;193720;12357
2020-12-31;4;MG;1179628;758167;1144898;41255
2020-12-31;4;AC;26833;16568;26231;1025
2020-12-31;4;PE;412902;278818;394296;34152
2020-12-31;4;SE;89704;41877;87462;4446
2020-12-31;4;AM;144736;97144;139736;4661
2020-12-31;4;DF;273848;172206;265149;10688
2020-12-31;4;PR;742661;472556;722952;39166
2020-12-31;4;MA;157070;99067;151805;6472
2020-12-31;4;RO;68742;39953;67366;2792
2020-12-31;4;AL;124280;80235;120661;6923
2020-12-31;4;AP;27172;17875;26258;822
2020-12-31;4;RN;148351;95986;138155;13503
2020-12-31;4;PB;135389;82645;128970;26580
2020-12-31;4;GO;452900;288724;439471;22403
2020-12-31;4;SP;4365048;2951354;4247707;190693
2020-12-31;4;PA;224279;140581;215519;10456
2020-12-31;4;RS;849431;682101;824861;73128
