data_trimestre;trimestre;bandeira;funcao;categoria;modalidade;qtd_cartoes_emitidos;qtd_cartoes_ativos;qtd_transacoes_nacionais;valor_transacoes_nacionais;qtd_transacoes_internacionais;valor_transacoes_internacionais
2020-03-31;1;Elo;Crédito;Empresarial;Puro;441358;193392;4342680;927690369.21;4465;2454350.32
2020-03-31;1;MasterCard;Crédito;Premium;Co-branded;103133;69635;2950987;644651794.09;130892;57555425.72
2020-03-31;1;American Express;Crédito;Platinum;Puro;466359;349194;11899109;2847010171.46;622335;481222525.58
2020-03-31;1;MasterCard;Crédito;Básico Internacional;Puro;10832558;6690938;109172686;9677491012.95;640775;127322351.90
2020-03-31;1;VISA;Crédito;Premium;Co-branded;212;61;827934;134312000.05;14496;4587312.36
2020-03-31;1;Bandeira própria;Crédito;Outros;Co-branded;5449906;4908881;4382095;751283896.50;0;0.00
2020-03-31;1;Elo;Pré-Pago;Básico Nacional;Puro;929765;108222;219089;14473083.97;114;6650.04
2020-03-31;1;MasterCard;Crédito;Outros;Híbrido;13773543;5309213;57953700;5346374499.41;107287;14170757.15
2020-03-31;1;American Express;Crédito;Corporativo;Puro;115623;101085;1774762;659388219.61;182543;178205064.36
2020-03-31;1;VISA;Débito;Básico Internacional;Co-branded;53696;11014;152711;11780309.97;1;3.67
2020-03-31;1;VISA;Débito;Platinum;Puro;1792967;1129668;38048746;3205279154.03;921;155436.32
2020-03-31;1;VISA;Crédito;Empresarial;Puro;1426930;810042;20648708;4791876265.35;387763;294069448.23
2020-03-31;1;VISA;Pré-Pago;Platinum;Puro;17000;259;0;0.00;4629;1664394.35
2020-03-31;1;MasterCard;Pré-Pago;Empresarial;Puro;7;3;11;431.55;0;0.00
2020-03-31;1;MasterCard;Crédito;Empresarial;Híbrido;11947;8238;137487;38325025.38;2726;1318048.65
2020-03-31;1;VISA;Crédito;Intermediário;Puro;7646471;6234782;173436821;19979095023.35;1117826;257036965.09
2020-03-31;1;VISA;Pré-Pago;Básico Internacional;Co-branded;34091;14223;10239;937324.91;2;547.27
2020-03-31;1;Outras;Crédito;Outros;Puro;263326;184237;104753;22694334.72;2;2075.11
2020-03-31;1;MasterCard;Crédito;Outros;Puro;227079;35149;631194;59949243.21;3765;525799.54
2020-03-31;1;Elo;Pré-Pago;Outros;Puro;27988;2569;40552;2097101.87;56;4601.03
2020-03-31;1;VISA;Crédito;Intermediário;Co-branded;880867;495083;9382385;1130541999.67;69011;16630039.23
