data_trimestre;trimestre;canal_acesso;tipo_transacao;detalhe_caixa_eletronico;qtd_transacoes;valor_transacoes
2020-03-31;1;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Banco24Horas (Terceiros);304011;0.00
2020-03-31;1;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Cartão Próprio;7013807;0.00
2020-03-31;1;Site do Banco (Internet Banking);Empréstimos e Financiamentos;Não aplicável;44141850;52331068119.13
2020-03-31;1;Agências;Saque;Não aplicável;60199848;309849870271.42
2020-03-31;1;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Banco24Horas (Terceiros);158796677;0.00
2020-03-31;1;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Cartão Próprio;35842451;16376063491.33
2020-03-31;1;Caixa Eletrônico;Saque;Caixa Eletrônico / Acesso Restrito;349085687;178019110872.05
2020-03-31;1;Correspondentes no País;Consulta Saldo/Extrato;Não aplicável;74612302;0.00
2020-03-31;1;Site do Banco (Internet Banking);Outras Financeiras;Não aplicável;467304548;1371967652244.15
2020-03-31;1;Caixa Eletrônico;Saque;Caixa Eletrônico / Banco24Horas (Terceiros);316839116;100901742525.55
2020-03-31;1;Caixa Eletrônico;Empréstimos e Financiamentos;Caixa Eletrônico / Cartão Próprio;1181625;4173469991.42
2020-03-31;1;Correspondentes no País;Outras Financeiras;Não aplicável;642;1223468314.17
2020-03-31;1;Centrais de Atendimento;Consulta Saldo/Extrato;Não aplicável;388534278;0.00
2020-03-31;1;Caixa Eletrônico;Boletos e Convênios;Caixa Eletrônico / Banco24Horas (Terceiros);3802163;1608051064.08
2020-03-31;1;Agências;Boletos e Convênios;Não aplicável;113544940;218603505675.00
2020-03-31;1;Caixa Eletrônico;Consulta Saldo/Extrato;Caixa Eletrônico / Acesso Restrito;300859262;0.00
2020-03-31;1;Caixa Eletrônico;Depósito;Caixa Eletrônico / Banco24Horas (Terceiros);3167461;3052604346.00
2020-03-31;1;Correspondentes no País;Empréstimos e Financiamentos;Não aplicável;14435781;31793284161.56
2020-03-31;1;Aplicativo do Banco (Mobile Banking);Outras Financeiras;Não aplicável;24079977;71760129994.81
2020-03-31;1;Centrais de Atendimento;Boletos e Convênios;Não aplicável;1145585;1461670867.51
2020-03-31;1;Caixa Eletrônico;Outras não Financeiras;Caixa Eletrônico / Acesso Restrito;144200034;0.00
2020-03-31;1;Agências;Empréstimos e Financiamentos;Não aplicável;180679847;320725869795.28
